#  x   Ec
  -0.996094  0.000193  
  -0.988281  0.000144  
  -0.980469  0.000106  
  -0.972656  0.000077  
  -0.964844  0.000055  
  -0.957031  0.000039  
  -0.949219  0.000027  
  -0.941406  0.000018  
  -0.933594  0.000012  
  -0.925781  0.000008  
  -0.917969  0.000005  
  -0.910156  0.000004  
  -0.902344  0.000003  
  -0.894531  0.000002  
  -0.886719  0.000001  
  -0.878906  0.000001  
  -0.871094  0.000001  
  -0.863281  0.000001  
  -0.855469  0.000001  
  -0.847656  0.000001  
  -0.839844  0.000001  
  -0.832031  0.000001  
  -0.824219  0.000001  
  -0.816406  0.000001  
  -0.808594  0.000001  
  -0.800781  0.000001  
  -0.792969  0.000001  
  -0.785156  0.000001  
  -0.777344  0.000001  
  -0.769531  0.000001  
  -0.761719  0.000001  
  -0.753906  0.000001  
  -0.746094  0.000001  
  -0.738281  0.000001  
  -0.730469  0.000001  
  -0.722656  0.000001  
  -0.714844  0.000001  
  -0.707031  0.000001  
  -0.699219  0.000001  
  -0.691406  0.000001  
  -0.683594  0.000001  
  -0.675781  0.000001  
  -0.667969  0.000001  
  -0.660156  0.000001  
  -0.652344  0.000001  
  -0.644531  0.000001  
  -0.636719  0.000001  
  -0.628906  0.000001  
  -0.621094  0.000001  
  -0.613281  0.000001  
  -0.605469  0.000001  
  -0.597656  0.000001  
  -0.589844  0.000001  
  -0.582031  0.000001  
  -0.574219  0.000001  
  -0.566406  0.000001  
  -0.558594  0.000001  
  -0.550781  0.000001  
  -0.542969  0.000001  
  -0.535156  0.000001  
  -0.527344  0.000001  
  -0.519531  0.000001  
  -0.511719  0.000001  
  -0.503906  0.000001  
  -0.496094  0.000001  
  -0.488281  0.000001  
  -0.480469  0.000001  
  -0.472656  0.000001  
  -0.464844  0.000001  
  -0.457031  0.000001  
  -0.449219  0.000001  
  -0.441406  0.000001  
  -0.433594  0.000001  
  -0.425781  0.000001  
  -0.417969  0.000001  
  -0.410156  0.000001  
  -0.402344  0.000001  
  -0.394531  0.000001  
  -0.386719  0.000001  
  -0.378906  0.000001  
  -0.371094  0.000001  
  -0.363281  0.000001  
  -0.355469  0.000001  
  -0.347656  0.000001  
  -0.339844  0.000001  
  -0.332031  0.000001  
  -0.324219  0.000001  
  -0.316406  0.000001  
  -0.308594  0.000001  
  -0.300781  0.000001  
  -0.292969  0.000001  
  -0.285156  0.000001  
  -0.277344  0.000001  
  -0.269531  0.000001  
  -0.261719  0.000001  
  -0.253906  0.000001  
  -0.246094  0.000001  
  -0.238281  0.000001  
  -0.230469  0.000001  
  -0.222656  0.000001  
  -0.214844  0.000001  
  -0.207031  0.000001  
  -0.199219  0.000001  
  -0.191406  0.000001  
  -0.183594  0.000001  
  -0.175781  0.000001  
  -0.167969  0.000001  
  -0.160156  0.000001  
  -0.152344  0.000001  
  -0.144531  0.000002  
  -0.136719  0.000002  
  -0.128906  0.000002  
  -0.121094  0.000003  
  -0.113281  0.000004  
  -0.105469  0.000005  
  -0.097656  0.000006  
  -0.089844  0.000009  
  -0.082031  0.000011  
  -0.074219  0.000015  
  -0.066406  0.000020  
  -0.058594  0.000027  
  -0.050781  0.000037  
  -0.042969  0.000049  
  -0.035156  0.000065  
  -0.027344  0.000087  
  -0.019531  0.000115  
  -0.011719  0.000152  
  -0.003906  0.000201  
  0.003906  0.000263  
  0.011719  0.000343  
  0.019531  0.000445  
  0.027344  0.000576  
  0.035156  0.000742  
  0.042969  0.000952  
  0.050781  0.001216  
  0.058594  0.001547  
  0.066406  0.001958  
  0.074219  0.002468  
  0.082031  0.003097  
  0.089844  0.003870  
  0.097656  0.004814  
  0.105469  0.005962  
  0.113281  0.007351  
  0.121094  0.009023  
  0.128906  0.011028  
  0.136719  0.013419  
  0.144531  0.016256  
  0.152344  0.019606  
  0.160156  0.023542  
  0.167969  0.028144  
  0.175781  0.033496  
  0.183594  0.039692  
  0.191406  0.046825  
  0.199219  0.054998  
  0.207031  0.064312  
  0.214844  0.074871  
  0.222656  0.086781  
  0.230469  0.100141  
  0.238281  0.115050  
  0.246094  0.131594  
  0.253906  0.149853  
  0.261719  0.169890  
  0.269531  0.191753  
  0.277344  0.215471  
  0.285156  0.241058  
  0.292969  0.268512  
  0.300781  0.297831  
  0.308594  0.329017  
  0.316406  0.362086  
  0.324219  0.397060  
  0.332031  0.433931  
  0.339844  0.472559  
  0.347656  0.512466  
  0.355469  0.552483  
  0.363281  0.590306  
  0.371094  0.622626  
  0.378906  0.645469  
  0.386719  0.657526  
  0.394531  0.661054  
  0.402344  0.661104  
  0.410156  0.661056  
  0.417969  0.661057  
  0.425781  0.661056  
  0.433594  0.661055  
  0.441406  0.661055  
  0.449219  0.661053  
  0.457031  0.661049  
  0.464844  0.661040  
  0.472656  0.661027  
  0.480469  0.661012  
  0.488281  0.660999  
  0.496094  0.660990  
  0.503906  0.660990  
  0.511719  0.660999  
  0.519531  0.661012  
  0.527344  0.661027  
  0.535156  0.661040  
  0.542969  0.661049  
  0.550781  0.661053  
  0.558594  0.661055  
  0.566406  0.661055  
  0.574219  0.661056  
  0.582031  0.661057  
  0.589844  0.661056  
  0.597656  0.661104  
  0.605469  0.661054  
  0.613281  0.657526  
  0.621094  0.645469  
  0.628906  0.622626  
  0.636719  0.590306  
  0.644531  0.552483  
  0.652344  0.512466  
  0.660156  0.472559  
  0.667969  0.433931  
  0.675781  0.397060  
  0.683594  0.362086  
  0.691406  0.329017  
  0.699219  0.297831  
  0.707031  0.268512  
  0.714844  0.241058  
  0.722656  0.215471  
  0.730469  0.191753  
  0.738281  0.169890  
  0.746094  0.149853  
  0.753906  0.131594  
  0.761719  0.115050  
  0.769531  0.100141  
  0.777344  0.086781  
  0.785156  0.074871  
  0.792969  0.064312  
  0.800781  0.054998  
  0.808594  0.046825  
  0.816406  0.039692  
  0.824219  0.033496  
  0.832031  0.028144  
  0.839844  0.023542  
  0.847656  0.019606  
  0.855469  0.016256  
  0.863281  0.013419  
  0.871094  0.011028  
  0.878906  0.009023  
  0.886719  0.007351  
  0.894531  0.005962  
  0.902344  0.004814  
  0.910156  0.003870  
  0.917969  0.003097  
  0.925781  0.002468  
  0.933594  0.001958  
  0.941406  0.001546  
  0.949219  0.001216  
  0.957031  0.000951  
  0.964844  0.000741  
  0.972656  0.000574  
  0.980469  0.000442  
  0.988281  0.000338  
  0.996094  0.000257  
